"y","x1","x2","x3","date","month_factor","fev","mar","abril","maio","jun","jul","ago","set","out","nov","dez","areas"
462,1,0,0,2018-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Recent"
105,1,0,0,2018-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Recent"
7,1,0,0,2018-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Recent"
5,1,0,0,2019-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Recent"
10,1,0,0,2019-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Recent"
23,1,0,0,2019-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Recent"
1,1,0,0,2019-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Recent"
1,1,0,0,2019-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Recent"
17,1,0,0,2019-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Recent"
854,1,0,0,2019-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Recent"
3663,1,0,0,2019-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Recent"
1460,1,0,0,2019-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Recent"
193,1,0,0,2019-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Recent"
186,1,0,0,2019-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Recent"
60,1,0,0,2019-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Recent"
51,1,0,0,2020-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Recent"
23,1,0,0,2020-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Recent"
15,1,0,0,2020-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Recent"
1,1,0,0,2020-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Recent"
5,1,0,0,2020-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Recent"
15,1,0,0,2020-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Recent"
1026,1,0,0,2020-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Recent"
4286,1,0,0,2020-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Recent"
2031,1,0,0,2020-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Recent"
544,1,0,0,2020-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Recent"
146,1,0,0,2020-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Recent"
71,1,0,0,2020-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Recent"
16,1,0,0,2021-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Recent"
8,1,0,0,2021-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Recent"
1,1,0,0,2021-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Recent"
3,1,0,0,2021-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Recent"
5,1,0,0,2021-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Recent"
22,1,0,0,2021-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Recent"
647,1,0,0,2021-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Recent"
5272,1,0,0,2021-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Recent"
1528,1,0,0,2021-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Recent"
896,1,0,0,2021-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Recent"
90,1,0,0,2021-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Recent"
16,1,0,0,2021-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Recent"
56,1,0,0,2022-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Recent"
11,1,0,0,2022-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Recent"
3,1,0,0,2022-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Recent"
2,1,0,0,2022-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Recent"
8,1,0,0,2022-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Recent"
19,1,0,0,2022-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Recent"
897,1,0,0,2022-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Recent"
5325,1,0,0,2022-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Recent"
4952,1,0,0,2022-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Recent"
717,1,0,0,2022-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Recent"
499,1,0,0,2022-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Recent"
60,1,0,0,2022-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Recent"
27,1,0,0,2023-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Recent"
16,1,0,0,2023-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Recent"
3,1,0,0,2023-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Recent"
1,1,0,0,2023-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Recent"
5,1,0,0,2023-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Recent"
30,1,0,0,2023-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Recent"
1135,1,0,0,2023-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Recent"
3361,1,0,0,2023-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Recent"
4067,1,0,0,2023-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Recent"
1980,1,0,0,2023-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Recent"
333,1,0,0,2023-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Recent"
53,1,0,0,2023-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Recent"
50,1,0,0,2024-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Recent"
48,1,0,0,2024-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Recent"
15,1,0,0,2024-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Recent"
8,1,0,0,2024-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Recent"
8,1,0,0,2024-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Recent"
152,1,0,0,2024-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Recent"
3156,1,0,0,2024-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Recent"
6142,1,0,0,2024-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Recent"
3660,1,0,0,2024-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Recent"
914,1,0,0,2024-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Recent"
173,1,0,0,2024-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Recent"
2,0,1,0,2018-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Other"
8,0,1,0,2018-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Other"
19,0,1,0,2018-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Other"
8,0,1,0,2018-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Other"
3,0,1,0,2019-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Other"
2,0,1,0,2019-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Other"
